Conversion Certificate,Deed from Previous Owner,Electricity Connection,Electricity Connection_detail,Encumberence Certificate,Is the plot free of any legal issues?,Revenue Document,Road Available,Road Available_detail,Sewage Connection,Sewage Connection_detail,Title Deed,Title Deed_detail,Water Connection,Water Connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open-sides,overlooking,ownership,plot-area,price,price_available,price_per_sqft,transaction,type,width-road-facing
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Lease Deed,Yes,Water Board,,No,No,20.1 X 11.2,0,,"Sector 1 Salt Lake City, Kolkata",2.00,Main Road,Leasehold,225 sqft,,0,,New Property,Residential Land / Plot,40 m
,,,,,,,,,,,,,,,,Yes,No,,2,4,"Purbalok, Mukundapur, Kolkata",2.00,,,3600 sqft,,0,,Resale,Residential Land / Plot,
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Gymnasium, Park",,,,15,,"Howrah, Kolkata",,Main Road,Leasehold,7921 sqft,1.20 Cr,1,1515.00,New Property,Residential Land / Plot,
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Action Area 1, Kolkata",2.00,Garden/Park,Freehold,1620 sqft,1.67 Cr,1,10309.00,Resale,Residential Land / Plot,12 m
,,,,,,,,,,,,,,,,No,0,24 X 30,14,,"Diamond Park, Joka, Kolkata",1.00,"Garden/Park, Main Road",Freehold,720 sqft,3.9 Lac,1,540.00,New Property,Residential Land / Plot,24 m
,,,,,,,,,,,,,,,,No,No,48 X 75,3,6,"Sonarpur Station Road, Kolkata",2.00,Main Road,Freehold,3600 sqft,35 Lac,1,972.00,New Property,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,No,No,,0,4,"Belghoria, Kolkata",1.00,,Freehold,2360 sqft,39 Lac,1,1653.00,Resale,Residential Land / Plot,6 m
,,,,,,,,,,,,,,,,Yes,No,,0,,"New Town, Kolkata",,,,2160 sqft,9 Lac,1,417.00,Resale,Residential Land / Plot,30 m
,,,,,,,,,,,,,,,,Yes,No,52 X 29,1,1,"Rajarhat, Kolkata",2.00,Main Road,Freehold,1508 sqft,20 Lac,1,1326.00,Resale,Residential Land / Plot,5 m
,,,,,,,,,,,,,,,,No,No,,0,Congo,"Garia Station Road, Kolkata",2.00,,Freehold,1750 sqft,29.5 Lac,1,1686.00,Resale,Residential Land / Plot,10 m
,,,,,,,,,,,,,,,,Yes,No,,13,,"Bhowanipore, Kolkata",1.00,,,720 sqft,,0,,Resale,Residential Land / Plot,6 m
